,Waterlust,https://waterlust.com/,,9.5,9.0,,9.0,9.2,"Waterlust is a small family-run business that donates 10% of their profits to various research & education organizations. They ship in 100% recycled, recyclable and biodegradable paper, and packaged in a recycled and recyclable poly mailer bags. They have a line that donates 100% of profits to the Black Girls Dive Foundation. They do not use animal products.",,,,
,Knotty Tie,https://www.knottytie.com/,,,9.0,9.0,9.5,9.2,"Knotty Tie Co. provides employment opportnities for refugees by offering jobs that match their skill, reimburse for education, give training, pay a living wage, and cover health insurance, transit and fitness expenses.. Their products are made and manufactored in Colorado, USA, and they ship in recyclable packaging. They do not use animal products",,,,
,Offset Jewelry,https://offsetjewellery.com/,,8.0,,,,8.0,"Offset Jewelry plants 10 trees to offset the carbon footprint of each item, which can be tracked and seen by each customer. They ship in minimal, FSC®-certified packaging. They manufactor in BSCI certified and ISO 9001:QMS certified facilities that use low carbon emitting metals for their base material.  They do not publish impact reports publicly or share if their employees are paid a living wage. They do not use animal products.",,,,
201,The Hershey Company,https://www.hersheys.com/,,1.5,1.5,2.2,2.5,1.9,"Hershey sources palm oil from at least 20 different farms that continue the destruction of rainforest to harvest. In 2017, investigations found Herhsey used cocoa grown illegally in national parks in Ghana and Ivory Coast. In 2019, another undercover investigation by the Rainforest Action Network found they were one of several large corporations sourcing palm oil from growers illegally, clearing lowland rainforests inside the nationally protected Rawa Singkil Wildlife Reserve in Indonesia. In 2020, Hershey became a signatory for the Cocoa & Forests Initiative, which seeks to end deforestation and restore forest areas. As You Sow scored them an F for their contribution to plastic pollution and lack of corporate leadership with their single-use packaging. They rated a Tier 5 (6 being the worst) on the Business Benchmark on Farm Animal Welfare for their lack of implementaion of animal welfare practices. They scored a 22% on their Know the Chain benchmark, which scores how they address human trafficking and forced labor in their supply chain. In 2019, Michele Buck (CEO of Hershey) paid themself $17 million in salary, 441 times the median employee's pay of  about $38,000. Hershey scored in the 20-30% range on the Human Rights Benchmark, which was an average score among other brands.",https://www.greenpeace.org/international/publication/18455/the-final-countdown-forests-indonesia-palm-oil/ https://www.ran.org/leuser-watch/the-last-of-the-leuser-lowlands/ https://www.asyousow.org/report-page/waste-and-opportunity-2020-searching-corporate-leadership https://www.mightyearth.org/2017/09/12/chocolatesdarksecret/ https://www.nbcnews.com/business/business-news/war-cocoa-hershey-co-accused-not-upholding-sustainability-efforts-west-n1250798?cid=sm_npd_ms_fb_ma ,https://www.bbfaw.com/media/1788/bbfaw_full-report_2019.pdf,https://knowthechain.org/benchmark/,https://aflcio.org/paywatch/HSY https://www.corporatebenchmark.org/ 
200,Birch Babe,https://birchbabe.com/,,8.0,9.0,,,8.5,"Birch Babe Naturals is a beauty brand selling plant-based, minimally-packaged, and plastic-free cosmetics. They do not use palm oil, and include their ingredients on their listings. They claim to be ""Certified Natural"" but do not share who has certified them or what it means. They do not share where they source their materials and ingredients from, or if they pay their employees a living wage.",,,,
199,Nespresso,https://www.nespresso.com/us/en/,,6.5,9.0,7.0,,7.5,"Nespresso is owned by Nestle, who rates a 1.0 on Ethicli. Nespresso is Fairtrade certified and Rainforest Alliance certified. They make their capsules out of recyclable aluminum, however in some areas they have to be collected and returned to a Nespresso retailer in order to be recycled again. Single-use capsules are relatively less sustainable than traditional brewing methods. The current recycling rate of capsules are approximately 30%. There is little transparency about their environmental impact reports or fair wages. They have pledged to become carbon-neutral by 2022 by partnering with the PUR Project. Nespresso capsules do not contain animal products. ",https://www.theguardian.com/sustainable-business/2015/may/27/nespresso-sustainability-transparency-recycling-coffee-pods-values-aluminum https://www.fairtradeamerica.org/shop-fairtrade/fairtrade-products/coffee/  https://www.rainforest-alliance.org/find-certified/nespresso https://theveganreview.com/nespresso-says-all-its-coffee-will-be-carbon-neutral-by-2022/ ,https://coffeeblog.co.uk/nespresso-coffee/,,
198,Zip Top,https://ziptop.com/,,9.0,9.0,5.0,,7.7,"Zip Top sells reusable 100% Platinum food-grade Silicone containers as an alternative to ziploc single-use plastic bags. They are BPA-free, plastic-free, and PVC-free. They do not use animal products, and the containers are recyclable. All of their products are made in the USA, but they do not state where or how their silicone is sourced. Additionally, specific information about their labor practices is not transparent to shoppers.",,,,
197,Tera Cube,https://myteracube.com/,,8.5,,,8.0,8.3,"Tera Cube is a sustainable smartphone alternative that is meant to be repairable instead of continually upgraded. They come with a 4-year warranty, fully compostable case, replaceable battery, and are made from recycled materials for a relatively cheaper price (around $250) compared to other phones. They use minimal packaging from recycled paper and soy ink. Their USB charger is also compatible with other phone companies to reduce the need for new cables. They claim that with every phone sold, they plant a tree. ",https://www.indiegogo.com/projects/teracube-2e-next-evolution-of-sustainable-phones#/,,,https://www.wired.com/review/teracube-phone/ https://www.ifixit.com/News/32686/the-fairphone-3-is-here-and-its-not-the-only-sustainable-phone-on-the-way 
196,Under Armour,https://www.underarmour.com/en-us/,4,3.5,5.5,6.0,4.5,4.9,"UnderArmour scored a 100% on the Corporate Equality Index, which distinguishes best companies for LGBTQ equality. Under Armour scored the lowest rating for Labour Behind the Label's rating for businesses' committments to pay their workers a living wage. The SAM Corporate Sustainability Assessment from S&P Global scored them a 10/100 for their supply chain practices. In 2019, As You Sow rated Under Armour a 42.7% for how their mineral sourcing affects human rights. In 2019, Kevin Plank (CEO of Under Armour) paid himself $6 million in salary, 491 times the median employee's pay of $12,127. They scored a 29/100 in the Fashion Transparency Index, and a 30-40% range in the Human Rights Benchmark, both scores being slightly above average. Under Armour scored a 44/100 (above average) on their efforts to limit human trafficking in their supply chain. They do use animal products like leather certified by the Leather Working Group, and wool. They are a participating member of the Fair Labor Association to improve working conditions, and a member of the Sustainable Apparel Coalition.",https://apparelcoalition.org/brands-retailers/,https://www.leatherworkinggroup.com/join-us/our-members?letter=U,https://labourbehindthelabel.org/tailoredwagesuk2019/  https://aflcio.org/paywatch/UAA https://www.fairlabor.org/affiliates/participating-suppliers ,https://www.hrc.org/resources/corporate-equality-index https://www.sourcingnetwork.org/mining-the-disclosures/ https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020 https://www.corporatebenchmark.org/ https://knowthechain.org/benchmark/ 
195,SiiZU,https://siizu.com/,,8.9,7.0,7.5,,7.8,"SiiZU is a New York-based fashion brand that focuses on sustainability in their supply chain. They use eco-friendly materials such as Tencel (wood pulp processed to form cellulose fibers) and recycled oyster shells that provides a non-wool alternative, and share the sourcing of their materials on their website. They use vegan leather, but also use silk, cashmere, and wool that is BlueSign and WoolMark certified. They are a corporate partner to American Forests, which helps reforest wildlife habitat. They claim that all their eco-friendly materials are 100% organic. They commit to sourcing from partners that pay a fair wage to their workers. SiiZU shares where their products are made on their website as well, with links leading to more information about each fabrics' facility. As for their jewelry, they do not share information whether their gold and silver jewelry is mined from raw materials, or made from recycled ore. They manufacture in the US, China and Japan.",https://siizu.com/blogs/fabrics https://www.americanforests.org/year-in-review-2020/corporate-partners-2020/ ,,https://siizu.com/blogs/fabrics https://www.thegoodtrade.com/features/interview-series-kay-wen-founder-of-siizu https://siizu.com/blogs/factories ,
